ANO;MES;DATA;EMPRESA;FAZENDA;UF;MUNICIPIO;AREA_T;AREA_PRODU;PRECIP_CHIRPS_MM;TEMP_MEDIA_C;UMID_MEDIA_PCT;TEMP_MIN_C;UMID_MIN_PCT;TEMP_MAX_C;UMID_MAX_PCT;NOITES_FRIAS_Eucalipto_<15C;NOITES_FRIAS_Pinus_<5C;DIRECAO_VENTO_GRAUS
2004.0;1.0;2004-01-01;BRASPINE;AGUA DOCE;PR;JAGUARIAIVA;238,97;121,99;176,60;19,48;85,88;12,21;48,94;26,64;99,85;94,10;0,00;7,43
2004.0;1.0;2004-01-01;BRASPINE;AMATA;;;;;212,24;21,28;83,59;14,42;46,39;29,93;100,00;14,42;0,00;2,00
2004.0;1.0;2004-01-01;BRASPINE;ANTA BRAVA;;;;;303,08;21,99;81,96;15,04;47,90;29,60;99,33;0,00;0,00;19,74
2004.0;1.0;2004-01-01;BRASPINE;ARAPONGAS;PR;SENGES;423,34;263,70;157,91;19,52;87,49;12,78;50,96;27,85;100,00;97,61;0,00;2,48
2004.0;1.0;2004-01-01;BRASPINE;ARROIO CLARO;PR;DOUTOR ULYSSES;275,14;92,00;176,71;19,73;87,19;13,09;50,16;28,46;100,00;84,49;0,00;1,66
2004.0;1.0;2004-01-01;BRASPINE;BARRA GRANDE;PR;DOUTOR ULYSSES;493,79;139,68;187,09;20,00;87,34;13,28;50,74;28,65;100,00;85,72;0,00;333,10
2004.0;1.0;2004-01-01;BRASPINE;BARRA GRANDE - BEMAIS;PR;GUARAPUAVA;299,16;108,61;88,81;19,77;82,42;11,28;41,80;26,64;99,99;92,95;0,00;3,49
2004.0;1.0;2004-01-01;BRASPINE;BARRETOS;PR;JAGUARIAIVA;43,35;32,98;170,30;19,49;87,12;12,39;50,36;27,30;100,00;94,78;0,00;3,56
2004.0;1.0;2004-01-01;BRASPINE;BAU;;;;;89,11;19,97;82,04;11,34;46,05;26,28;99,90;94,00;0,00;0,12
2004.0;1.0;2004-01-01;BRASPINE;BOA VISTA II;PR;PIRAI DO SUL;944,00;535,05;178,90;19,51;86,45;12,18;49,69;26,95;99,98;93,56;0,00;3,72
2004.0;1.0;2004-01-01;BRASPINE;BRASILEIRA;;;;;165,97;19,52;87,49;12,78;50,96;27,85;100,00;97,61;0,00;2,48
2004.0;1.0;2004-01-01;BRASPINE;BURACAO;;;;;173,10;19,65;85,30;12,66;49,53;27,19;99,86;111,61;0,00;1,25
2004.0;1.0;2004-01-01;BRASPINE;BURRINHO;PR;DOUTOR ULYSSES;211,01;100,37;177,74;19,73;87,19;13,09;50,16;28,46;100,00;84,49;0,00;1,66
2004.0;1.0;2004-01-01;BRASPINE;CADEADO I;PR;JAGUARIAIVA;21,07;12,29;166,62;19,35;87,30;12,43;50,46;27,42;100,00;110,15;0,00;3,36
2004.0;1.0;2004-01-01;BRASPINE;CADEADO II;PR;JAGUARIAIVA;21,88;16,79;166,62;19,35;87,30;12,43;50,46;27,42;100,00;110,15;0,00;3,36
2004.0;1.0;2004-01-01;BRASPINE;CAMPINA ALTA;PR;TIBAGI;29,77;18,24;132,74;21,08;81,10;12,99;40,86;27,96;99,74;69,07;0,00;2,63
2004.0;1.0;2004-01-01;BRASPINE;CAMPINA DO ELIAS;PR;JAGUARIAIVA;29,17;14,65;178,81;19,44;87,19;12,40;50,40;27,35;100,00;94,93;0,00;3,50
2004.0;1.0;2004-01-01;BRASPINE;CAMPO NOVO;PR;JAGUARIAIVA;295,98;156,36;164,18;19,35;87,30;12,43;50,46;27,42;100,00;110,15;0,00;3,36
2004.0;1.0;2004-01-01;BRASPINE;CONSULTORIA II A;PR;DOUTOR ULYSSES;89,62;60,79;163,90;19,52;87,49;12,78;50,96;27,85;100,00;97,61;0,00;2,48
2004.0;1.0;2004-01-01;BRASPINE;DINIZ;;;;;174,57;19,52;87,49;12,78;50,96;27,85;100,00;97,61;0,00;2,48
2004.0;1.0;2004-01-01;BRASPINE;ENES;PR;JAGUARIAIVA;5,93;5,69;165,14;19,35;87,30;12,43;50,46;27,42;100,00;110,15;0,00;3,36
2004.0;1.0;2004-01-01;BRASPINE;ENGENHARIA;;;;;174,57;19,52;87,49;12,78;50,96;27,85;100,00;97,61;0,00;2,48
2004.0;1.0;2004-01-01;BRASPINE;ESTACAO;PR;SENGES;4,76;4,14;162,03;19,35;87,30;12,43;50,46;27,42;100,00;110,15;0,00;3,36
2004.0;1.0;2004-01-01;BRASPINE;FAXINAL;PR;JAGUARIAIVA;20,65;20,65;165,14;19,35;87,30;12,43;50,46;27,42;100,00;110,15;0,00;3,36
2004.0;1.0;2004-01-01;BRASPINE;FEITAL;PR;DOUTOR ULYSSES;154,17;86,53;179,57;19,68;87,44;12,95;50,89;28,11;100,00;83,69;0,00;1,15
2004.0;1.0;2004-01-01;BRASPINE;FIGUEIRA;PR;DOUTOR ULYSSES;1053,81;315,71;174,22;19,73;87,19;13,09;50,16;28,46;100,00;84,49;0,00;1,66
2004.0;1.0;2004-01-01;BRASPINE;FIGUEIRINHA;PR;DOUTOR ULYSSES;94,37;56,74;199,10;19,73;87,19;13,09;50,16;28,46;100,00;84,49;0,00;1,66
2004.0;1.0;2004-01-01;BRASPINE;FLOEMA;PR;DOUTOR ULYSSES;2189,88;701,43;188,10;19,26;87,30;12,52;50,36;27,60;100,00;95,66;0,00;2,08
2004.0;1.0;2004-01-01;BRASPINE;FLOEMA I - SUDATI;;;;;157,20;19,52;87,49;12,78;50,96;27,85;100,00;97,61;0,00;2,48
2004.0;1.0;2004-01-01;BRASPINE;FLOEMA II - SUDATI;PR;DOUTOR ULYSSES;453,83;211,13;159,17;19,52;87,49;12,78;50,96;27,85;100,00;97,61;0,00;2,48
2004.0;1.0;2004-01-01;BRASPINE;FLOR DA SERRA;PR;SAO JOSE DA BOA VISTA;209,10;128,72;211,33;21,55;80,09;14,67;43,14;29,03;99,55;14,67;0,00;2,01
2004.0;1.0;2004-01-01;BRASPINE;GENTIL;PR;JAGUARIAIVA;126,77;53,33;166,05;19,27;85,70;11,98;48,85;26,09;99,57;136,96;0,00;3,87
2004.0;1.0;2004-01-01;BRASPINE;GUAIRACA;PR;GUARAPUAVA;623,62;169,31;78,33;19,96;81,87;11,55;42,10;27,11;99,98;109,71;0,00;2,19
2004.0;1.0;2004-01-01;BRASPINE;HERVAL 2 - MADALOSSO;;;;;172,70;19,65;85,30;12,66;49,53;27,19;99,86;111,61;0,00;1,25
2004.0;1.0;2004-01-01;BRASPINE;HERVAL DE BAIXO;PR;RESERVA;827,29;475,92;136,13;21,14;80,93;12,80;39,86;27,99;99,81;68,61;0,00;0,77
2004.0;1.0;2004-01-01;BRASPINE;HORTO 01;PR;TURVO;19,12;19,12;80,16;20,51;82,98;11,88;45,99;26,88;99,72;97,11;0,00;343,54
2004.0;1.0;2004-01-01;BRASPINE;HORTO 02;PR;TURVO;4,24;4,24;79,93;20,51;82,98;11,88;45,99;26,88;99,72;97,11;0,00;343,54
2004.0;1.0;2004-01-01;BRASPINE;HORTO 03;PR;PRUDENTOPOLIS;80,91;25,89;79,96;21,04;81,51;12,35;42,57;27,80;99,89;54,74;0,00;10,54
2004.0;1.0;2004-01-01;BRASPINE;HORTO 08;PR;TURVO;9,53;9,53;80,95;21,04;81,51;12,35;42,57;27,80;99,89;54,74;0,00;10,54
2004.0;1.0;2004-01-01;BRASPINE;HORTO 12;PR;PRUDENTOPOLIS;12,20;12,20;79,01;21,04;81,51;12,35;42,57;27,80;99,89;54,74;0,00;10,54
2004.0;1.0;2004-01-01;BRASPINE;IZAU;PR;PIRAI DO SUL;19,37;11,60;175,14;19,24;86,25;11,87;48,86;26,21;99,60;135,70;0,00;3,71
2004.0;1.0;2004-01-01;BRASPINE;JOAO RICO;PR;JAGUARIAIVA;47,46;26,18;171,98;19,48;85,88;12,21;48,94;26,64;99,85;94,10;0,00;7,43
2004.0;1.0;2004-01-01;BRASPINE;LAGOA;PR;JAGUARIAIVA;24,10;10,78;174,01;19,35;87,30;12,43;50,46;27,42;100,00;110,15;0,00;3,36
2004.0;1.0;2004-01-01;BRASPINE;MARACANA;PR;JANDAIA DO SUL;11,45;11,45;98,08;22,91;78,57;15,48;38,17;29,81;100,00;0,00;0,00;2,43
2004.0;1.0;2004-01-01;BRASPINE;MARRECA;;;;;192,24;19,73;87,19;13,09;50,16;28,46;100,00;84,49;0,00;1,66
2004.0;1.0;2004-01-01;BRASPINE;MARRECA SP;SP;ITAPIRAPUA PAULISTA;675,30;236,19;204,52;20,44;86,72;13,82;49,63;29,59;100,00;43,13;0,00;0,98
2004.0;1.0;2004-01-01;BRASPINE;MARRECAS;;;;;89,11;19,25;83,05;10,84;42,86;26,12;100,00;163,25;0,00;3,25
2004.0;1.0;2004-01-01;BRASPINE;MERCADINHO;;;;;201,28;20,42;85,40;13,77;48,93;29,17;100,00;42,98;0,00;2,05
2004.0;1.0;2004-01-01;BRASPINE;MONTE ALEGRE;;;;;86,62;23,49;77,22;16,01;37,90;30,30;99,99;0,00;0,00;0,58
2004.0;1.0;2004-01-01;BRASPINE;MONTE TABOR II;;;;;194,96;19,67;88,13;13,22;55,23;28,51;100,00;70,48;0,00;4,19
2004.0;1.0;2004-01-01;BRASPINE;MOREIRA;PR;DOUTOR ULYSSES;230,52;68,68;159,17;19,52;87,49;12,78;50,96;27,85;100,00;97,61;0,00;2,48
2004.0;1.0;2004-01-01;BRASPINE;MOREIRAS II;PR;DOUTOR ULYSSES;66,76;28,75;164,61;19,52;87,49;12,78;50,96;27,85;100,00;97,61;0,00;2,48
2004.0;1.0;2004-01-01;BRASPINE;MORRETES;PR;ORTIGUEIRA;20,36;20,36;141,43;21,74;79,88;13,13;36,58;28,98;99,85;56,05;0,00;4,79
2004.0;1.0;2004-01-01;BRASPINE;MORRO AZUL;;;;;193,40;19,71;87,59;12,96;49,71;27,96;100,00;84,10;0,00;4,84
2004.0;1.0;2004-01-01;BRASPINE;OURO FINO;SP;APIAI;51,70;51,70;193,40;19,44;88,51;12,98;53,85;27,92;100,00;98,72;0,00;0,96
2004.0;1.0;2004-01-01;BRASPINE;PALMEIRINHA DE BAIXO - SOSSEGO;PR;SENGES;85,93;9,22;189,16;19,17;86,67;12,33;48,75;26,92;99,86;109,43;0,00;7,06
2004.0;1.0;2004-01-01;BRASPINE;PAZIN;PR;DOUTOR ULYSSES;41,20;23,90;189,90;19,73;87,19;13,09;50,16;28,46;100,00;84,49;0,00;1,66
2004.0;1.0;2004-01-01;BRASPINE;PEDRAS;PR;CASTRO;7,18;7,18;194,72;19,36;86,16;11,91;51,12;26,26;99,71;136,08;0,00;337,28
2004.0;1.0;2004-01-01;BRASPINE;PESCARIA;PR;SAO JOSE DA BOA VISTA;184,57;129,22;209,98;21,61;80,15;14,68;41,23;29,15;99,54;14,68;0,00;337,30
2004.0;1.0;2004-01-01;BRASPINE;PESSEGUEIRO;PR;DOUTOR ULYSSES;109,95;64,79;170,97;19,52;87,49;12,78;50,96;27,85;100,00;97,61;0,00;2,48
2004.0;1.0;2004-01-01;BRASPINE;PITANGA;;;;;90,05;20,76;81,20;12,28;48,66;27,22;99,70;69,42;0,00;0,11
2004.0;1.0;2004-01-01;BRASPINE;QUEIMADINHO ARROIO CLARO;PR;DOUTOR ULYSSES;48,13;19,09;165,97;19,52;87,49;12,78;50,96;27,85;100,00;97,61;0,00;2,48
2004.0;1.0;2004-01-01;BRASPINE;QUEIMADINHO M6042;PR;DOUTOR ULYSSES;48,38;18,50;165,97;19,52;87,49;12,78;50,96;27,85;100,00;97,61;0,00;2,48
2004.0;1.0;2004-01-01;BRASPINE;QUEIMADINHO USUCAPIAO;PR;DOUTOR ULYSSES;200,27;92,43;165,97;19,52;87,49;12,78;50,96;27,85;100,00;97,61;0,00;2,48
2004.0;1.0;2004-01-01;BRASPINE;RAMOS;PR;SENGES;69,83;38,15;157,20;19,35;87,30;12,43;50,46;27,42;100,00;110,15;0,00;3,36
2004.0;1.0;2004-01-01;BRASPINE;RIBEIRAO GRANDE;PR;JAGUARIAIVA;20,77;20,77;172,61;19,24;86,25;11,87;48,86;26,21;99,60;135,70;0,00;3,71
2004.0;1.0;2004-01-01;BRASPINE;RINCAO DE BAIXO;;;;;103,16;20,26;81,29;12,66;42,64;26,96;99,73;67,17;0,00;4,39
2004.0;1.0;2004-01-01;BRASPINE;RIO BOMBA;PR;CERRO AZUL;65,03;37,72;198,85;20,82;84,14;14,06;45,85;29,38;100,00;28,50;0,00;1,89
2004.0;1.0;2004-01-01;BRASPINE;RIO DO MEIO;PR;DOUTOR ULYSSES;712,33;389,13;164,97;19,52;87,49;12,78;50,96;27,85;100,00;97,61;0,00;2,48
2004.0;1.0;2004-01-01;BRASPINE;RONDON;PR;JAGUARIAIVA;2899,24;1475,88;172,34;19,25;86,75;12,30;49,81;26,81;99,89;124,26;0,00;6,48
