ANO;MES;DATA;EMPRESA;FAZENDA;UF;MUNICIPIO;AREA_T;AREA_PRODU;PRECIP_CHIRPS_MM;TEMP_MEDIA_C;UMID_MEDIA_PCT;TEMP_MIN_C;UMID_MIN_PCT;TEMP_MAX_C;UMID_MAX_PCT;NOITES_FRIAS_Eucalipto_<15C;NOITES_FRIAS_Pinus_<5C;DIRECAO_VENTO_GRAUS
2022.0;1.0;2022-01-01;BRASPINE;AGUA DOCE;PR;JAGUARIAIVA;238,97;121,99;135,98;20,49;86,61;13,39;46,99;29,66;99,81;70,34;0,00;0,41
2022.0;1.0;2022-01-01;BRASPINE;AMATA;;;;;150,20;22,59;84,19;14,47;35,99;33,26;100,00;14,47;0,00;7,19
2022.0;1.0;2022-01-01;BRASPINE;ANTA BRAVA;;;;;157,15;23,37;81,46;16,68;42,93;32,24;99,52;0,00;0,00;10,48
2022.0;1.0;2022-01-01;BRASPINE;ARAPONGAS;PR;SENGES;423,34;263,70;140,96;20,80;87,45;14,10;39,64;30,87;100,00;42,84;0,00;1,75
2022.0;1.0;2022-01-01;BRASPINE;ARROIO CLARO;PR;DOUTOR ULYSSES;275,14;92,00;142,97;20,95;87,36;13,93;38,04;31,17;100,00;42,91;0,00;7,67
2022.0;1.0;2022-01-01;BRASPINE;BARRA GRANDE;PR;DOUTOR ULYSSES;493,79;139,68;149,13;21,37;87,28;14,41;38,87;31,68;100,00;29,16;0,00;0,01
2022.0;1.0;2022-01-01;BRASPINE;BARRA GRANDE - BEMAIS;PR;GUARAPUAVA;299,16;108,61;152,64;20,64;83,71;13,25;45,54;30,23;99,96;84,11;0,00;32,94
2022.0;1.0;2022-01-01;BRASPINE;BARRETOS;PR;JAGUARIAIVA;43,35;32,98;149,57;20,54;87,72;13,43;42,79;30,21;99,99;55,42;0,00;1,91
2022.0;1.0;2022-01-01;BRASPINE;BAU;;;;;144,33;20,68;83,71;12,99;46,09;29,80;99,54;83,73;0,00;1,51
2022.0;1.0;2022-01-01;BRASPINE;BOA VISTA II;PR;PIRAI DO SUL;944,00;535,05;156,21;20,48;87,24;13,12;45,42;29,86;99,99;69,26;0,00;2,31
2022.0;1.0;2022-01-01;BRASPINE;BRASILEIRA;;;;;139,00;20,80;87,45;14,10;39,64;30,87;100,00;42,84;0,00;1,75
2022.0;1.0;2022-01-01;BRASPINE;BURACAO;;;;;144,58;20,83;85,55;13,53;42,53;30,14;99,88;56,26;0,00;5,58
2022.0;1.0;2022-01-01;BRASPINE;BURRINHO;PR;DOUTOR ULYSSES;211,01;100,37;142,51;20,95;87,36;13,93;38,04;31,17;100,00;42,91;0,00;7,67
2022.0;1.0;2022-01-01;BRASPINE;CADEADO I;PR;JAGUARIAIVA;21,07;12,29;143,06;20,50;87,56;13,64;40,50;30,33;100,00;55,94;0,00;2,14
2022.0;1.0;2022-01-01;BRASPINE;CADEADO II;PR;JAGUARIAIVA;21,88;16,79;143,06;20,50;87,56;13,64;40,50;30,33;100,00;55,94;0,00;2,14
