ANO;MES;DATA;EMPRESA;FAZENDA;UF;MUNICIPIO;AREA_T;AREA_PRODU;PRECIP_CHIRPS_MM;TEMP_MEDIA_C;UMID_MEDIA_PCT;TEMP_MIN_C;UMID_MIN_PCT;TEMP_MAX_C;UMID_MAX_PCT;NOITES_FRIAS_Eucalipto_<15C;NOITES_FRIAS_Pinus_<5C;DIRECAO_VENTO_GRAUS
2008.0;1.0;2008-01-01;BRASPINE;AGUA DOCE;PR;JAGUARIAIVA;238,97;121,99;163,37;19,30;87,96;13,91;57,68;27,00;99,84;57,19;0,00;9,12
2008.0;1.0;2008-01-01;BRASPINE;AMATA;;;;;195,81;21,10;85,76;15,44;46,38;31,19;99,99;0,00;0,00;1,87
2008.0;1.0;2008-01-01;BRASPINE;ANTA BRAVA;;;;;228,27;22,09;83,12;16,57;51,63;29,49;99,54;0,00;0,00;41,58
2008.0;1.0;2008-01-01;BRASPINE;ARAPONGAS;PR;SENGES;423,34;263,70;172,88;19,42;89,05;14,29;51,34;28,46;100,00;58,41;0,00;16,70
2008.0;1.0;2008-01-01;BRASPINE;ARROIO CLARO;PR;DOUTOR ULYSSES;275,14;92,00;190,34;19,63;88,74;14,43;47,96;29,36;100,00;28,92;0,00;0,22
2008.0;1.0;2008-01-01;BRASPINE;BARRA GRANDE;PR;DOUTOR ULYSSES;493,79;139,68;183,49;19,94;88,91;14,86;50,92;29,18;100,00;29,76;0,00;334,94
2008.0;1.0;2008-01-01;BRASPINE;BARRA GRANDE - BEMAIS;PR;GUARAPUAVA;299,16;108,61;173,24;19,03;86,94;12,87;54,85;26,66;99,98;98,83;0,00;6,84
2008.0;1.0;2008-01-01;BRASPINE;BARRETOS;PR;JAGUARIAIVA;43,35;32,98;172,16;19,33;88,92;13,92;53,81;27,92;100,00;71,98;0,00;1,10
2008.0;1.0;2008-01-01;BRASPINE;BAU;;;;;146,36;19,15;86,49;12,82;58,55;26,24;99,89;98,06;0,00;1,91
2008.0;1.0;2008-01-01;BRASPINE;BOA VISTA II;PR;PIRAI DO SUL;944,00;535,05;163,27;19,31;88,61;13,73;54,99;27,51;99,99;101,16;0,00;0,64
2008.0;1.0;2008-01-01;BRASPINE;BRASILEIRA;;;;;178,65;19,42;89,05;14,29;51,34;28,46;100,00;58,41;0,00;16,70
2008.0;1.0;2008-01-01;BRASPINE;BURACAO;;;;;177,69;19,33;87,87;13,61;50,82;27,70;99,87;86,53;0,00;1,61
2008.0;1.0;2008-01-01;BRASPINE;BURRINHO;PR;DOUTOR ULYSSES;211,01;100,37;190,33;19,63;88,74;14,43;47,96;29,36;100,00;28,92;0,00;0,22
2008.0;1.0;2008-01-01;BRASPINE;CADEADO I;PR;JAGUARIAIVA;21,07;12,29;170,99;19,22;88,87;13,94;52,35;28,08;100,00;72,05;0,00;1,95
2008.0;1.0;2008-01-01;BRASPINE;CADEADO II;PR;JAGUARIAIVA;21,88;16,79;170,99;19,22;88,87;13,94;52,35;28,08;100,00;72,05;0,00;1,95
2008.0;1.0;2008-01-01;BRASPINE;CAMPINA ALTA;PR;TIBAGI;29,77;18,24;165,10;20,40;85,65;14,44;55,40;27,77;99,94;14,44;0,00;13,63
2008.0;1.0;2008-01-01;BRASPINE;CAMPINA DO ELIAS;PR;JAGUARIAIVA;29,17;14,65;179,10;19,29;88,90;13,93;53,28;27,98;100,00;72,00;0,00;3,29
2008.0;1.0;2008-01-01;BRASPINE;CAMPO NOVO;PR;JAGUARIAIVA;295,98;156,36;172,48;19,22;88,87;13,94;52,35;28,08;100,00;72,05;0,00;1,95
2008.0;1.0;2008-01-01;BRASPINE;CONSULTORIA II A;PR;DOUTOR ULYSSES;89,62;60,79;179,12;19,42;89,05;14,29;51,34;28,46;100,00;58,41;0,00;16,70
2008.0;1.0;2008-01-01;BRASPINE;DINIZ;;;;;182,46;19,42;89,05;14,29;51,34;28,46;100,00;58,41;0,00;16,70
2008.0;1.0;2008-01-01;BRASPINE;ENES;PR;JAGUARIAIVA;5,93;5,69;172,41;19,22;88,87;13,94;52,35;28,08;100,00;72,05;0,00;1,95
2008.0;1.0;2008-01-01;BRASPINE;ENGENHARIA;;;;;182,46;19,42;89,05;14,29;51,34;28,46;100,00;58,41;0,00;16,70
2008.0;1.0;2008-01-01;BRASPINE;ESTACAO;PR;SENGES;4,76;4,14;172,14;19,22;88,87;13,94;52,35;28,08;100,00;72,05;0,00;1,95
2008.0;1.0;2008-01-01;BRASPINE;FAXINAL;PR;JAGUARIAIVA;20,65;20,65;172,41;19,22;88,87;13,94;52,35;28,08;100,00;72,05;0,00;1,95
2008.0;1.0;2008-01-01;BRASPINE;FEITAL;PR;DOUTOR ULYSSES;154,17;86,53;183,97;19,59;89,00;14,48;51,20;28,70;100,00;28,99;0,00;15,07
2008.0;1.0;2008-01-01;BRASPINE;FIGUEIRA;PR;DOUTOR ULYSSES;1053,81;315,71;183,64;19,63;88,74;14,43;47,96;29,36;100,00;28,92;0,00;0,22
2008.0;1.0;2008-01-01;BRASPINE;FIGUEIRINHA;PR;DOUTOR ULYSSES;94,37;56,74;195,47;19,63;88,74;14,43;47,96;29,36;100,00;28,92;0,00;0,22
2008.0;1.0;2008-01-01;BRASPINE;FLOEMA;PR;DOUTOR ULYSSES;2189,88;701,43;182,17;19,11;88,88;13,81;48,86;28,55;100,00;86,42;0,00;2,03
2008.0;1.0;2008-01-01;BRASPINE;FLOEMA I - SUDATI;;;;;170,73;19,42;89,05;14,29;51,34;28,46;100,00;58,41;0,00;16,70
