ANO;MES;DATA;EMPRESA;FAZENDA;UF;MUNICIPIO;AREA_T;AREA_PRODU;PRECIP_CHIRPS_MM;TEMP_MEDIA_C;UMID_MEDIA_PCT;TEMP_MIN_C;UMID_MIN_PCT;TEMP_MAX_C;UMID_MAX_PCT;NOITES_FRIAS_Eucalipto_<15C;NOITES_FRIAS_Pinus_<5C;DIRECAO_VENTO_GRAUS
2012.0;1.0;2012-01-01;BRASPINE;AGUA DOCE;PR;JAGUARIAIVA;238,97;121,99;155,36;19,44;85,08;12,85;41,82;26,54;99,90;112,37;0,00;8,71
2012.0;1.0;2012-01-01;BRASPINE;AMATA;;;;;175,00;21,12;84,87;13,48;41,21;28,69;100,00;13,48;0,00;0,13
2012.0;1.0;2012-01-01;BRASPINE;ANTA BRAVA;;;;;216,43;21,91;80,74;15,23;33,00;29,18;99,41;0,00;0,00;3,36
2012.0;1.0;2012-01-01;BRASPINE;ARAPONGAS;PR;SENGES;423,34;263,70;178,82;19,58;86,48;13,17;41,08;26,65;100,00;100,00;0,00;325,13
2012.0;1.0;2012-01-01;BRASPINE;ARROIO CLARO;PR;DOUTOR ULYSSES;275,14;92,00;176,01;19,79;86,37;13,17;42,01;27,32;100,00;86,14;0,00;0,34
2012.0;1.0;2012-01-01;BRASPINE;BARRA GRANDE;PR;DOUTOR ULYSSES;493,79;139,68;187,00;20,11;86,55;13,74;41,08;27,31;100,00;57,64;0,00;0,32
2012.0;1.0;2012-01-01;BRASPINE;BARRA GRANDE - BEMAIS;PR;GUARAPUAVA;299,16;108,61;175,68;19,15;84,40;12,40;41,43;26,77;99,99;167,17;0,00;14,69
2012.0;1.0;2012-01-01;BRASPINE;BARRETOS;PR;JAGUARIAIVA;43,35;32,98;164,81;19,55;86,00;12,83;41,45;26,86;99,99;84,04;0,00;9,00
2012.0;1.0;2012-01-01;BRASPINE;BAU;;;;;168,32;19,22;83,98;12,42;40,25;26,32;99,91;80,11;0,00;0,19
2012.0;1.0;2012-01-01;BRASPINE;BOA VISTA II;PR;PIRAI DO SUL;944,00;535,05;159,96;19,55;85,40;12,79;41,94;26,83;99,98;112,95;0,00;10,78
2012.0;1.0;2012-01-01;BRASPINE;BRASILEIRA;;;;;177,48;19,58;86,48;13,17;41,08;26,65;100,00;100,00;0,00;325,13
2012.0;1.0;2012-01-01;BRASPINE;BURACAO;;;;;163,45;19,53;85,17;12,32;44,74;26,85;99,82;97,27;0,00;3,19
2012.0;1.0;2012-01-01;BRASPINE;BURRINHO;PR;DOUTOR ULYSSES;211,01;100,37;176,04;19,79;86,37;13,17;42,01;27,32;100,00;86,14;0,00;0,34
2012.0;1.0;2012-01-01;BRASPINE;CADEADO I;PR;JAGUARIAIVA;21,07;12,29;168,26;19,39;86,12;12,80;41,17;26,52;100,00;113,13;0,00;5,85
2012.0;1.0;2012-01-01;BRASPINE;CADEADO II;PR;JAGUARIAIVA;21,88;16,79;168,26;19,39;86,12;12,80;41,17;26,52;100,00;113,13;0,00;5,85
2012.0;1.0;2012-01-01;BRASPINE;CAMPINA ALTA;PR;TIBAGI;29,77;18,24;159,37;20,37;83,70;12,73;38,04;28,76;99,88;69,06;0,00;4,81
2012.0;1.0;2012-01-01;BRASPINE;CAMPINA DO ELIAS;PR;JAGUARIAIVA;29,17;14,65;165,86;19,49;86,04;12,82;41,35;26,74;100,00;113,76;0,00;7,96
2012.0;1.0;2012-01-01;BRASPINE;CAMPO NOVO;PR;JAGUARIAIVA;295,98;156,36;173,87;19,39;86,12;12,80;41,17;26,52;100,00;113,13;0,00;5,85
2012.0;1.0;2012-01-01;BRASPINE;CONSULTORIA II A;PR;DOUTOR ULYSSES;89,62;60,79;179,71;19,58;86,48;13,17;41,08;26,65;100,00;100,00;0,00;325,13
2012.0;1.0;2012-01-01;BRASPINE;DINIZ;;;;;186,47;19,58;86,48;13,17;41,08;26,65;100,00;100,00;0,00;325,13
